Year ,Site_id,Region,Site Type,PM10 Daily Measured,PM2.5 Daily Measured,PM10 Hourly Measured,PM2.5 Hourly Measured,NO2,SO2,O3,Total Days
2021,ED3,Edinburgh St Leonards,Urban Background,n/m,n/m,0,0,-,0,0,0
2021,GHSR,Glasgow High Street,Urban Traffic,n/m,n/m,0,0,0,n/m,n/m,0
2021,GLKP,Glasgow Townhead,Urban Background,n/m,n/m,0,0,0,n/m,1,1
2021,GRAN,Grangemouth,Urban Industrial,n/m,n/m,0,0,-,0,n/m,0
2021,GKA8,Greenock A8 Roadside,Urban Traffic,n/m,n/m,0,0,-,n/m,n/m,0
2021,HUL2,Hull Freetown,Urban Background,n/m,n/m,0,0,0,0,3,3
2021,HULR,Hull Holderness Road,Urban Traffic,n/m,n/m,1,n/m,0,n/m,n/m,1
2021,INV2,Inverness,Urban Traffic,n/m,n/m,1,0,0,n/m,n/m,1
2021,LEAM,Leamington Spa,Urban Background,n/m,n/m,0,1,0,n/m,16,17
2021,LEAR,Leamington Spa Rugby Road,Urban Traffic,n/m,n/m,0,0,0,n/m,n/m,0
2021,LEED,Leeds Centre,Urban Background,n/m,n/m,0,2,0,0,4,6
2021,LED6,Leeds Headingley Kerbside,Urban Traffic,n/m,n/m,4,2,0,n/m,n/m,4
2021,LEIR,Leicester A594 Roadside,Urban Traffic,n/m,n/m,4,n/m,0,n/m,n/m,4
2021,LECU,Leicester University,Urban Background,n/m,n/m,0,0,0,n/m,6,6
2021,LVP,Liverpool Speke,Urban Industrial,n/m,n/m,-,-,-,-,-,-
2021,BEX,London Bexley,Suburban Background,n/m,n/m,1,4,0,n/m,n/m,4
2021,CLL2,London Bloomsbury,Urban Background,n/m,n/m,0,-,0,0,5,5
2021,LON6,London Eltham,Suburban Background,n/m,n/m,-,2,0,n/m,-,2
2021,HRL,London Harlington,Urban Industrial,n/m,n/m,0,1,0,n/m,9,10
2021,HP1,London Honor Oak Park,Urban Background,n/m,n/m,0,2,n/m,n/m,n/m,2
2021,MY1,London Marylebone Road,Urban Traffic,-,2,1,2,0,0,0,2
2021,KC1,London N. Kensington,Urban Background,n/m,n/m,1,2,0,-,11,13
2021,TED2,London Teddington Bushy Park,Urban Background,n/m,n/m,0,2,n/m,n/m,n/m,2
2021,MAN3,Manchester Piccadilly,Urban Background,n/m,n/m,1,1,0,0,1,3
2021,MID,Middlesbrough,Urban Industrial,n/m,n/m,0,1,0,0,1,2
2021,NEWC,Newcastle Centre,Urban Background,n/m,n/m,0,0,0,n/m,0,0
2021,NCA3,Newcastle Cradlewell Roadside,Urban Traffic,n/m,n/m,0,n/m,0,n/m,n/m,0
2021,NPT3,Newport,Urban Background,n/m,n/m,0,1,0,n/m,n/m,1
2021,NO12,Norwich Lakenfields,Urban Background,n/m,n/m,1,1,0,n/m,8,9
2021,NOTT,Nottingham Centre,Urban Background,n/m,n/m,1,1,0,0,4,5
2021,NWBV,Nottingham Western Boulevard,Urban Traffic,n/m,n/m,1,n/m,0,n/m,n/m,1
2021,OX8,Oxford St Ebbes,Urban Background,n/m,n/m,1,1,0,n/m,n/m,1
2021,PLYM,Plymouth Centre,Urban Background,n/m,n/m,0,0,0,n/m,5,5
2021,PT4,Port Talbot Margam,Urban Industrial,0,n/m,28,2,0,0,4,32
2021,PMTH,Portsmouth,Urban Background,n/m,n/m,-,-,-,n/m,-,-
2021,POAR,Portsmouth Anglesea Road,Urban Traffic,n/m,n/m,2,n/m,0,n/m,n/m,2
2021,PRES,Preston,Urban Background,n/m,n/m,0,1,0,n/m,8,9
2021,REA5,Reading London Road,Urban Traffic,n/m,n/m,2,n/m,0,n/m,n/m,2
2021,REA1,Reading New Town,Urban Background,n/m,n/m,1,2,0,n/m,-,2
2021,ECCL,Salford Eccles,Urban Background,n/m,n/m,1,1,0,n/m,n/m,1
2021,SASH,Saltash Callington Road,Urban Traffic,n/m,n/m,0,1,n/m,n/m,n/m,1
2021,SDY,Sandy Roadside,Urban Traffic,n/m,n/m,-,-,-,n/m,n/m,-
